"id","target","subpopulation","predictor","response","predicted"
"7","v22","B",163.8,5716,3764.23138565636
"7","b28","B",245.4,4897,3843.91206086168
"7","f32","B",465.9,6614,4059.22565011137
"7","n40","B",330.25,6088,3926.76629237115
"7","o15","C",330.4,3305,3189.7705637545
"7","w23","C",257.5,2775,3072.99838183918
"7","c29","C",237.9,2850,3041.60284321723
"7","k37","C",395.5,3432,3294.04860274884
"7","c55","C",319.2,3061,3171.83025597053
"7","e5","D",181.75,3360,2504.142364626
"7","g7","D",292.3,4055,2724.70562759486
"7","z52","D",469.3,4795,3077.84626572681
"7","c55","D",355.8,4748,2851.39732545575
"7","m13","E",368.6,5357,3951.41985889974
"7","a27","E",292.65,6207,4016.64131605076
"7","h34","E",228.7,5442,4071.55786884611
"7","t46","E",254.4,6027,4049.48819868441
"7","b54","E",281.6,6170,4026.13041547826
"7","d4","F",258.9,5220,5408.42987584528
"7","f6","G",216.3,5379,4957.10084156226
"7","r18","G",257.15,5628,4830.79896336
"7","k37","G",410.55,4157,4356.50990298725
"7","s45","G",196.8,5177,5017.39182381303
"7","e57","G",381.6,5567,4446.01882279032
"7","q17","H",175.95,6040,4701.1617471834
"7","h34","H",233.8,7517,4859.81126313289
"7","l38","H",260.8,7244,4933.85684533923
"7","y51","H",281.9,6929,4991.72209661899
"7","h8","I",335.3,5820,5148.6657096167
"7","j10","I",237.8,6935,5394.0932764521
"7","l12","I",261.95,5716,5333.30275605133
"7","a27","I",345,6621,5124.24881322384
"7","d56","I",373.8,4908,5051.75328578938
"7","b2","J",360.3,9863,7236.28719068439
"7","b28","J",238.6,8428,6543.42038881507
"7","c3","K",177.6,8567,6090.13602151404
"8","u21","A",226.5,3932,3391.70959516748
"8","q43","A",341.56,4467,3499.24365908253
"8","v22","B",163.8,3737,3764.23138565636
"8","b28","B",245.4,3876,3843.91206086168
"8","f32","B",465.9,4673,4059.22565011137
"8","o15","C",330.4,3479,3189.7705637545
"8","s19","C",205.95,3134,2990.42491163706
"8","w23","C",257.5,3234,3072.99838183918
"8","c29","C",237.9,3600,3041.60284321723
"8","o41","C",247.8,3160,3057.46079384771
"8","w49","C",410.8,3062,3318.5563446323
"8","g7","D",292.3,2240,2724.70562759486
"8","d30","D",304.3,3481,2748.64736577329
"8","f32","D",432.7,2946,3004.82396428257
"8","n40","D",384.7,2720,2909.05701156882
"8","u47","D",248,2300,2636.32071081946
"8","h8","E",212.01,3948,4085.89027332077
"8","m39","E",196.9,3991,4098.8658653886
"8","k11","F",270.4,4911,5387.89509868696
"8","v22","F",192.3,5935,5527.35302008391
"8","r44","F",422.1,5070,5117.01460347675
"8","d56","F",249.9,4430,5424.50057101267
"8","w23","G",238.5,3469,4888.46187715369
"8","y25","G",356.45,3036,4523.7787306676
"8","p42","G",333.5,3676,4594.7365790089
"8","a27","H",194.3,5652,4751.485318794
"8","y51","H",281.9,6570,4991.72209661899
"8","a27","I",345,6422,5124.24881322384
"8","p42","I",312.25,5585,5206.6873036224
"8","t20","J",155.6,6478,6070.88181399868
"8","t46","J",278.7,8100,6771.71914604563
"8","v48","J",265.8,8168,6698.27640369465
"8","a1","K",210.5,7241,6183.81708208917
"8","c3","K",177.6,6856,6090.13602151404
"8","d56","K",249.9,7159,6296.00655888735
"9","i9","A",153.8,2736,3323.76481464753
"9","a27","A",399.5,3053,3553.39387343364
"9","q43","A",341.56,2782,3499.24365908253
"9","e57","A",352.4,2709,3509.37462773227
"9","j36","B",496.2,NA,4088.81295965453
"9","b54","B",212.4,1288,3811.68825838894
"9","g7","C",196.7,2663,2975.60813958333
"9","c29","C",237.9,2400,3041.60284321723
"9","s45","C",232.07,1854,3032.26427229039
"9","w49","C",410.8,2087,3318.5563446323
"9","c55","C",319.2,2246,3171.83025597053
"9","i9","D",234.6,2019,2609.58576985354
"9","i35","D",368.5,1817,2876.73566502793
"9","z52","D",469.3,1780,3077.84626572681
"9","d4","F",258.9,2864,5408.42987584528
"9","v22","F",192.3,3369,5527.35302008391
"9","x24","F",208.7,3296,5498.06864222335
"9","g33","F",227.9,3764,5463.78449253294
"9","j10","G",483.9,2366,4129.72305436704
"9","s45","G",196.8,3097,5017.39182381303
"9","x50","G",319.2,2707,4638.9499659928
"9","l38","H",260.8,3140,4933.85684533923
"9","e57","H",352.4,3039,5185.06333904664
"9","d4","I",169.15,4003,5566.89945556237
"9","h8","I",335.3,3319,5148.6657096167
"9","p16","I",203.4,3908,5480.68515644326
"9","d56","I",373.8,3114,5051.75328578938
"9","b2","J",360.3,6162,7236.28719068439
"9","b28","J",238.6,6381,6543.42038881507
"9","c3","K",177.6,4511,6090.13602151404
"9","l38","K",242.5,5916,6274.93543887957
"10","i9","A",153.8,2203,3323.76481464753
"10","i35","A",380.25,2354,3535.40299275951
"10","m39","A",212.15,2260,3378.29821139222
"10","q43","A",341.56,2792,3499.24365908253
"10","y51","A",237.9,2327,3402.36393489137
"10","e57","A",352.4,2322,3509.37462773227
"10","v22","B",163.8,2759,3764.23138565636
"10","b28","B",245.4,2323,3843.91206086168
"10","n40","B",330.25,2978,3926.76629237115
"10","b54","B",212.4,2502,3811.68825838894
"10","k11","C",186.2,1628,2958.78910103586
"10","c29","C",237.9,2115,3041.60284321723
"10","s45","C",232.07,1657,3032.26427229039
"10","w49","C",410.8,2237,3318.5563446323
"10","c3","D",191.1,1653,2522.7969689567
"10","n14","D",262.8,2202,2665.84885457287
"10","d30","D",304.3,2996,2748.64736577329
"10","n40","D",384.7,2450,2909.05701156882
"10","z52","D",469.3,2013,3077.84626572681
"10","m13","E",368.6,2360,3951.41985889974
"10","h34","E",228.7,2679,4071.55786884611
"10","j36","E",397.9,2942,3926.25871743135
"10","b54","E",281.6,2952,4026.13041547826
"10","d4","F",258.9,3314,5408.42987584528
"10","k11","F",270.4,3560,5387.89509868696
"10","x24","F",208.7,3543,5498.06864222335
"10","g33","F",227.9,4075,5463.78449253294
"10","d56","F",249.9,2626,5424.50057101267
"10","q17","H",175.95,3375,4701.1617471834
"10","u21","H",245.5,3101,4891.89768208897
"10","a27","H",194.3,3142,4751.485318794
"10","h34","H",233.8,3845,4859.81126313289
"10","l38","H",260.8,3447,4933.85684533923
"10","e57","H",352.4,3410,5185.06333904664
"10","d4","I",169.15,3141,5566.89945556237
"10","p16","I",203.4,3739,5480.68515644326
"10","x24","I",324.75,2689,5175.22223095119
"10","b2","J",360.3,4472,7236.28719068439
"10","t20","J",155.6,3343,6070.88181399868
"10","b28","J",238.6,4377,6543.42038881507
"10","s19","K",205.8,3840,6170.43407343558
"10","z26","K",162.6,3327,6047.42429176854
"10","d56","K",249.9,3310,6296.00655888735
"11","q17","A",189.6,3907,3357.22317974539
"11","i35","A",380.25,4532,3535.40299275951
"11","q43","A",341.56,5395,3499.24365908253
"11","u47","A",216.9,4048,3382.73751961051
"11","y51","A",237.9,4453,3402.36393489137
"11","n14","B",191.75,4057,3791.52396987191
"11","v22","B",163.8,4268,3764.23138565636
"11","f32","B",465.9,6488,4059.22565011137
"11","n40","B",330.25,6225,3926.76629237115
"11","r44","B",397.55,5297,3992.48331983828
"11","b54","B",212.4,4362,3811.68825838894
"11","c29","C",237.9,3297,3041.60284321723
"11","o41","C",247.8,3158,3057.46079384771
"11","a53","C",421,3527,3334.89483922128
"11","c55","C",319.2,3721,3171.83025597053
"11","d30","D",304.3,4085,2748.64736577329
"11","h34","E",228.7,3905,4071.55786884611
"11","m39","E",196.9,3668,4098.8658653886
"11","d4","F",258.9,5215,5408.42987584528
"11","p16","F",285.6,6066,5360.75348018205
"11","x24","F",208.7,5890,5498.06864222335
"11","f6","G",216.3,4243,4957.10084156226
"11","r18","G",257.15,4213,4830.79896336
"11","w23","G",238.5,3861,4888.46187715369
"11","k37","G",410.55,3921,4356.50990298725
"11","p42","G",333.5,4318,4594.7365790089
"11","s45","G",196.8,4086,5017.39182381303
"11","d4","I",169.15,7070,5566.89945556237
"11","h8","I",335.3,7224,5148.6657096167
"11","l12","I",261.95,7804,5333.30275605133
"11","d56","I",373.8,5643,5051.75328578938
"11","b2","J",360.3,10400,7236.28719068439
"11","z26","J",229.6,8172,6492.18126624461
"11","a1","K",210.5,5054,6183.81708208917
"11","s19","K",205.8,5193,6170.43407343558
"11","a53","K",277.06,5140,6373.34326421321
"11","d56","K",249.9,4379,6296.00655888735
"12","i9","A",153.8,5550,3323.76481464753
"12","u21","A",226.5,6142,3391.70959516748
"12","e31","A",262.4,5473,3425.26141938571
"12","m39","A",212.15,5940,3378.29821139222
"12","y51","A",237.9,5842,3402.36393489137
"12","v22","B",163.8,5238,3764.23138565636
"12","y25","B",413.65,4258,4008.20462952953
"12","g7","C",196.7,4261,2975.60813958333
"12","w23","C",257.5,3489,3072.99838183918
"12","k37","C",395.5,4774,3294.04860274884
"12","o41","C",247.8,3703,3057.46079384771
"12","g7","D",292.3,3518,2724.70562759486
"12","i9","D",234.6,3506,2609.58576985354
"12","i35","D",368.5,4097,2876.73566502793
"12","m13","E",368.6,4565,3951.41985889974
"12","a27","E",292.65,5147,4016.64131605076
"12","j36","E",397.9,4887,3926.25871743135
"12","b54","E",281.6,4994,4026.13041547826
"12","g33","F",227.9,3205,5463.78449253294
"12","k37","G",410.55,6144,4356.50990298725
"12","p42","G",333.5,6672,4594.7365790089
"12","a53","G",277,6731,4769.42583527396
"12","d4","I",169.15,6196,5566.89945556237
"12","p16","I",203.4,7912,5480.68515644326
"12","t20","I",153.1,5722,5607.3006088722
"12","a27","I",345,7894,5124.24881322384
"12","p42","I",312.25,7117,5206.6873036224
"12","d56","I",373.8,5273,5051.75328578938
"12","b2","J",360.3,10121,7236.28719068439
"12","z26","J",229.6,7127,6492.18126624461
"12","b28","J",238.6,8662,6543.42038881507
"12","e57","J",381.5,8568,7356.983790517
"12","a1","K",210.5,9390,6183.81708208917
"12","s19","K",205.8,9053,6170.43407343558
"12","z26","K",162.6,8733,6047.42429176854
"12","a53","K",277.06,9355,6373.34326421321
"13","q17","A",189.6,743,3357.22317974539
"13","a27","A",399.5,694,3553.39387343364
"13","m39","A",212.15,874,3378.29821139222
"13","u47","A",216.9,837,3382.73751961051
"13","y51","A",237.9,968,3402.36393489137
"13","e57","A",352.4,527,3509.37462773227
"13","r44","B",397.55,934,3992.48331983828
"13","b54","B",212.4,743,3811.68825838894
"13","g7","C",196.7,844,2975.60813958333
"13","k11","C",186.2,528,2958.78910103586
"13","o15","C",330.4,880,3189.7705637545
"13","g33","C",221,641,3014.53220022177
"13","k37","C",395.5,932,3294.04860274884
"13","w49","C",410.8,811,3318.5563446323
"13","a53","C",421,805,3334.89483922128
"13","e5","D",181.75,447,2504.142364626
"13","i35","D",368.5,554,2876.73566502793
"13","u47","D",248,518,2636.32071081946
"13","s19","E",219.7,681,4079.28654711285
"13","a27","E",292.65,672,4016.64131605076
"13","v48","E",455.9,625,3876.45167971234
"13","v22","F",192.3,1454,5527.35302008391
"13","x24","F",208.7,1494,5498.06864222335
"13","y51","F",238,1665,5445.74960128954
"13","y25","G",356.45,752,4523.7787306676
"13","k37","G",410.55,861,4356.50990298725
"13","p42","G",333.5,1041,4594.7365790089
"13","h34","H",233.8,819,4859.81126313289
"13","d4","I",169.15,969,5566.89945556237
"13","l12","I",261.95,957,5333.30275605133
"13","p42","I",312.25,1062,5206.6873036224
"13","t20","J",155.6,1469,6070.88181399868
"13","c3","K",177.6,1134,6090.13602151404
"13","a53","K",277.06,1291,6373.34326421321
"13","d56","K",249.9,1194,6296.00655888735
"14","i9","A",153.8,1973,3323.76481464753
"14","i35","A",380.25,1876,3535.40299275951
"14","u47","A",216.9,1792,3382.73751961051
"14","y51","A",237.9,2016,3402.36393489137
"14","b28","B",245.4,2206,3843.91206086168
"14","f32","B",465.9,2714,4059.22565011137
"14","n40","B",330.25,2536,3926.76629237115
"14","b54","B",212.4,2019,3811.68825838894
"14","g7","C",196.7,2040,2975.60813958333
"14","o15","C",330.4,1923,3189.7705637545
"14","s19","C",205.95,1546,2990.42491163706
"14","g33","C",221,1423,3014.53220022177
"14","k37","C",395.5,2009,3294.04860274884
"14","o41","C",247.8,1679,3057.46079384771
"14","s45","C",232.07,1435,3032.26427229039
"14","w49","C",410.8,1767,3318.5563446323
"14","c55","C",319.2,1783,3171.83025597053
"14","e5","D",181.75,1251,2504.142364626
"14","i9","D",234.6,1518,2609.58576985354
"14","d30","D",304.3,1822,2748.64736577329
"14","n40","D",384.7,1504,2909.05701156882
"14","h8","E",212.01,1677,4085.89027332077
"14","m13","E",368.6,1608,3951.41985889974
"14","o15","E",412.5,1759,3913.72108379863
"14","j36","E",397.9,1932,3926.25871743135
"14","m39","E",196.9,1740,4098.8658653886
"14","q43","E",335.5,1755,3979.84422008076
"14","v48","E",455.9,1547,3876.45167971234
"14","d4","F",258.9,2329,5408.42987584528
"14","x24","F",208.7,2677,5498.06864222335
"14","j10","G",483.9,2545,4129.72305436704
"14","c29","G",296.5,2796,4709.13485302318
"14","k37","G",410.55,2380,4356.50990298725
"14","e57","G",381.6,2970,4446.01882279032
"14","l12","H",297.7,2450,5035.05247435455
"14","h34","H",233.8,2453,4859.81126313289
"14","e57","H",352.4,2348,5185.06333904664
"14","j10","I",237.8,3731,5394.0932764521
"14","l12","I",261.95,3122,5333.30275605133
"14","d30","I",289.2,3058,5264.7088976281
"14","p42","I",312.25,2935,5206.6873036224
"14","x50","I",365.2,2921,5073.40125578717
"14","a1","K",210.5,2616,6183.81708208917
"14","s19","K",205.8,2653,6170.43407343558
"14","z26","K",162.6,2325,6047.42429176854
"14","d56","K",249.9,2235,6296.00655888735
"15","e57","A",352.4,3037,3509.37462773227
"15","n14","B",191.75,3600,3791.52396987191
"15","f32","B",465.9,3931,4059.22565011137
"15","j36","B",496.2,3276,4088.81295965453
"15","z52","B",372,3707,3967.53428489348
"15","g7","C",196.7,3326,2975.60813958333
"15","c29","C",237.9,2912,3041.60284321723
"15","w49","C",410.8,2882,3318.5563446323
"15","c3","D",191.1,1654,2522.7969689567
"15","e5","D",181.75,1729,2504.142364626
"15","i9","D",234.6,1980,2609.58576985354
"15","a27","D",202.4,1865,2545.3421057414
"15","u47","D",248,1865,2636.32071081946
"15","m13","E",368.6,3778,3951.41985889974
"15","o15","E",412.5,4233,3913.72108379863
"15","s19","E",219.7,4538,4079.28654711285
"15","a27","E",292.65,4615,4016.64131605076
"15","o41","E",270.9,4039,4035.31895519538
"15","k11","F",270.4,4262,5387.89509868696
"15","g33","F",227.9,5466,5463.78449253294
"15","f6","G",216.3,4745,4957.10084156226
"15","j10","G",483.9,3799,4129.72305436704
"15","y25","G",356.45,3643,4523.7787306676
"15","k37","G",410.55,3858,4356.50990298725
"15","s45","G",196.8,4866,5017.39182381303
"15","e57","G",381.6,4470,4446.01882279032
"15","q17","H",175.95,4406,4701.1617471834
"15","l38","H",260.8,4873,4933.85684533923
"15","y51","H",281.9,5105,4991.72209661899
"15","e57","H",352.4,4872,5185.06333904664
"15","d4","I",169.15,5382,5566.89945556237
"15","j10","I",237.8,6036,5394.0932764521
"15","l12","I",261.95,5122,5333.30275605133
"15","t20","I",153.1,4442,5607.3006088722
"15","x24","I",324.75,3810,5175.22223095119
"15","d30","I",289.2,5065,5264.7088976281
"15","x50","I",365.2,4735,5073.40125578717
"15","d56","I",373.8,3703,5051.75328578938
"15","t46","J",278.7,9177,6771.71914604563
"15","e57","J",381.5,10344,7356.983790517
"15","a1","K",210.5,5961,6183.81708208917
"15","c3","K",177.6,6366,6090.13602151404
"15","f6","K",262.85,6637,6332.88101890097
"15","s19","K",205.8,6461,6170.43407343558
"15","z26","K",162.6,6144,6047.42429176854
"15","a53","K",277.06,6066,6373.34326421321
"16","m13","A",279.1,3083,3440.86909249002
"16","a27","A",399.5,3497,3553.39387343364
"16","u47","A",216.9,2892,3382.73751961051
"16","e57","A",352.4,3213,3509.37462773227
"16","r44","B",397.55,4887,3992.48331983828
"16","b54","B",212.4,4244,3811.68825838894
"16","w23","C",257.5,2561,3072.99838183918
"16","o41","C",247.8,2629,3057.46079384771
"16","a27","D",202.4,2264,2545.3421057414
"16","d30","D",304.3,3355,2748.64736577329
"16","f32","D",432.7,3244,3004.82396428257
"16","c55","D",355.8,2776,2851.39732545575
"16","a27","E",292.65,3998,4016.64131605076
"16","j36","E",397.9,3896,3926.25871743135
"16","m39","E",196.9,3321,4098.8658653886
"16","d4","F",258.9,5429,5408.42987584528
"16","v22","F",192.3,6384,5527.35302008391
"16","x24","F",208.7,6120,5498.06864222335
"16","d56","F",249.9,4303,5424.50057101267
"16","w23","G",238.5,4363,4888.46187715369
"16","c29","G",296.5,4826,4709.13485302318
"16","k37","G",410.55,4581,4356.50990298725
