"id","target","subassay","predictor","response"
"17","g33","C","221",2826
"17","k37","C","395.5",3835
"17","w49","C","410.8",3319
"17","g7","D","292.3",2118
"17","n14","D","262.8",2237
"17","f32","D","432.7",2481
"17","n40","D","384.7",2302
"17","a27","E","292.65",4030
"17","m39","E","196.9",3131
"17","o41","E","270.9",3394
"17","r44","F","422.1",3491
"17","r18","G","257.15",4702
"17","y25","G","356.45",3821
"17","k37","G","410.55",4320
"17","p42","G","333.5",4786
"17","a53","G","277",5116
"17","q17","H","175.95",4787
"17","h34","H","233.8",5621
"17","y51","H","281.9",5819
"17","h8","I","335.3",4008
"17","d30","I","289.2",3854
"17","p42","I","312.25",3824
"17","t20","J","155.6",5344
"17","v48","J","265.8",6178
"17","e57","J","381.5",6302
"17","c3","K","177.6",5108
"17","s19","K","205.8",5456
"17","z26","K","162.6",5442
"17","a53","K","277.06",5619
"18","i9","A","153.8",2933
"18","m13","A","279.1",2549
"18","u21","A","226.5",2942
"18","q43","A","341.56",2847
"18","u47","A","216.9",2515
"18","y51","A","237.9",2934
"18","e57","A","352.4",2298
"18","n14","B","191.75",3495
"18","b28","B","245.4",3474
"18","f32","B","465.9",3823
"18","r44","B","397.55",3262
"18","b54","B","212.4",3437
"18","s19","C","205.95",2024
"18","w23","C","257.5",2161
"18","g33","C","221",1822
"18","s45","C","232.07",1886
"18","g7","D","292.3",1912
"18","f32","D","432.7",2158
"18","i35","D","368.5",1840
"18","u47","D","248",1853
"18","z52","D","469.3",1699
"18","o15","E","412.5",1788
"18","h34","E","228.7",2044
"18","j36","E","397.9",1948
"18","m39","E","196.9",1950
"18","q43","E","335.5",1850
"18","t46","E","254.4",2233
"18","v48","E","455.9",1763
"18","d56","F","249.9",3008
"18","s45","G","196.8",4504
"18","a53","G","277",4762
"18","l12","H","297.7",3870
"18","a27","H","194.3",4110
"18","x24","I","324.75",3078
"18","p42","I","312.25",3771
"18","b2","J","360.3",7584
"18","t20","J","155.6",6245
"18","v48","J","265.8",6595
"18","a1","K","210.5",4972
"18","c3","K","177.6",4849
"18","f6","K","262.85",5423
"18","s19","K","205.8",4528
"18","l38","K","242.5",5883
"18","x50","K","319.2",4982
"19","q17","A","189.6",3082
"19","a27","A","399.5",3953
"19","e57","A","352.4",3421
"19","n14","B","191.75",4008
"19","z52","B","372",4340
"19","k11","C","186.2",2885
"19","s19","C","205.95",3121
"19","c29","C","237.9",3679
"19","g7","D","292.3",2690
"19","f32","D","432.7",3233
"19","n40","D","384.7",2688
"19","u47","D","248",2375
"19","h8","E","212.01",2717
"19","h34","E","228.7",3162
"19","q43","E","335.5",3260
"19","b54","E","281.6",3438
"19","y51","F","238",5489
"19","r18","G","257.15",4614
"19","w23","G","238.5",4014
"19","c29","G","296.5",4429
"19","s45","G","196.8",4245
"19","a27","H","194.3",6072
"19","d4","I","169.15",4984
"19","h8","I","335.3",5541
"19","t20","J","155.6",6140
"19","z26","J","229.6",7302
"19","e57","J","381.5",8362
"19","s19","K","205.8",6263
"19","x50","K","319.2",6917
"19","a53","K","277.06",6323
"20","e5","A","251",3521
"20","u21","A","226.5",4460
"20","e31","A","262.4",4087
"20","m39","A","212.15",4333
"20","v22","B","163.8",3862
"20","r44","B","397.55",4772
"20","z52","B","372",5306
"20","w23","C","257.5",2276
"20","o41","C","247.8",2342
"20","c55","C","319.2",2642
"20","c3","D","191.1",2590
"20","i9","D","234.6",3430
"20","n14","D","262.8",3614
"20","d30","D","304.3",5350
"20","n40","D","384.7",4466
"20","z52","D","469.3",4393
"20","o15","E","412.5",4506
"20","o41","E","270.9",4087
"20","t46","E","254.4",4635
"20","v48","E","455.9",4606
"20","k11","F","270.4",5718
"20","p16","F","285.6",5711
"20","g33","F","227.9",6630
"20","f6","G","216.3",5947
"20","r18","G","257.15",6294
"20","w23","G","238.5",5267
"20","y25","G","356.45",5123
"20","c29","G","296.5",5559
"20","h34","H","233.8",7610
"20","l38","H","260.8",7000
"20","h8","I","335.3",6353
"20","j10","I","237.8",6339
"20","t20","I","153.1",4931
"20","d30","I","289.2",6452
"20","b2","J","360.3",16239
"20","z26","J","229.6",12290
"20","b28","J","238.6",12672
"20","v48","J","265.8",11440
"20","a1","K","210.5",8727
"20","s19","K","205.8",9002
"20","z26","K","162.6",8690
"20","x50","K","319.2",9244
"21","q17","A","189.6",4074
"21","a27","A","399.5",5050
"21","i35","A","380.25",4411
"21","e57","A","352.4",4249
"21","n14","B","191.75",2960
"21","v22","B","163.8",3044
"21","y25","B","413.65",2930
"21","r44","B","397.55",3412
"21","z52","B","372",3729
"21","g7","C","196.7",2734
"21","o15","C","330.4",2806
"21","c29","C","237.9",2670
"21","o41","C","247.8",2461
"21","s45","C","232.07",2066
"21","a53","C","421",2643
"21","e5","D","181.75",2474
"21","g7","D","292.3",2901
"21","i9","D","234.6",3006
"21","n14","D","262.8",3056
"21","d30","D","304.3",3800
"21","z52","D","469.3",2903
"21","c55","D","355.8",3060
"21","h8","E","212.01",4540
"21","m39","E","196.9",4422
"21","v48","E","455.9",5320
"21","b54","E","281.6",5684
"21","g33","F","227.9",7976
"21","w49","F","403.83",7517
"21","f6","G","216.3",4618
"21","w23","G","238.5",4038
"21","c29","G","296.5",4662
"21","k37","G","410.55",4192
"21","l12","H","297.7",4519
"21","a27","H","194.3",3942
"21","e31","H","213.1",3960
"21","h8","I","335.3",6098
"21","l12","I","261.95",5861
"21","p16","I","203.4",7033
"21","t20","I","153.1",5103
"21","x24","I","324.75",5244
"21","b2","J","360.3",8497
"21","t46","J","278.7",5908
"21","e57","J","381.5",7445
"21","s19","K","205.8",7992
"21","d56","K","249.9",7375
"22","i9","A","153.8",3527
"22","u21","A","226.5",3377
"22","m39","A","212.15",3266
"22","y51","A","237.9",3591
"22","v22","B","163.8",2799
"22","g7","C","196.7",3310
"22","k37","C","395.5",3449
"22","s45","C","232.07",2518
"22","c3","D","191.1",2181
"22","g7","D","292.3",2942
"22","i9","D","234.6",2932
"22","a27","D","202.4",2545
"22","i35","D","368.5",3071
"22","s19","E","219.7",3269
"22","j36","E","397.9",3118
"22","o41","E","270.9",2927
"22","t46","E","254.4",3262
"22","v48","E","455.9",2969
"22","r44","F","422.1",4797
"22","y51","F","238",5111
"22","d56","F","249.9",3500
"22","w23","G","238.5",4150
"22","p42","G","333.5",4205
"22","x50","G","319.2",4019
"22","e57","G","381.6",4488
"22","q17","H","175.95",2800
"22","e31","H","213.1",2729
"22","l38","H","260.8",2811
"22","d4","I","169.15",4358
"22","l12","I","261.95",3828
"22","t20","I","153.1",3626
"22","d30","I","289.2",4001
"22","t20","J","155.6",4649
"22","z26","J","229.6",4677
"22","v48","J","265.8",4900
"23","m13","A","279.1",3039
"23","q43","A","341.56",3767
"23","f6","B","262.8",5008
"23","r18","B","203.3",4421
"23","b28","B","245.4",4428
"23","j36","B","496.2",4280
"23","z52","B","372",4804
"23","b54","B","212.4",4117
"23","k11","C","186.2",2516
"23","w23","C","257.5",2923
"23","k37","C","395.5",3443
"23","o41","C","247.8",2903
"23","s45","C","232.07",2471
"23","c3","D","191.1",1735
"23","g7","D","292.3",2097
"23","i9","D","234.6",2058
"23","f32","D","432.7",2798
"23","i35","D","368.5",2276
"23","c55","D","355.8",2213
"23","h8","E","212.01",2724
"23","s19","E","219.7",3258
"23","t46","E","254.4",3100
"23","v48","E","455.9",2691
"23","d4","F","258.9",4224
"23","v22","F","192.3",5087
"23","x24","F","208.7",4852
"23","g33","F","227.9",5461
"23","d56","F","249.9",3742
"23","j10","G","483.9",4427
"23","w23","G","238.5",4593
"23","e31","H","213.1",3692
"23","h34","H","233.8",4488
"23","l38","H","260.8",4058
"23","d4","I","169.15",5322
"23","h8","I","335.3",4874
"23","j10","I","237.8",6268
"23","x24","I","324.75",4258
"23","p42","I","312.25",5279
"23","t20","J","155.6",6688
"23","z26","J","229.6",6512
"23","b28","J","238.6",7700
"23","t46","J","278.7",6892
"23","v48","J","265.8",7064
"23","c3","K","177.6",6945
"23","f6","K","262.85",7362
"23","s19","K","205.8",7277
"23","l38","K","242.5",8612
"23","x50","K","319.2",7321
"23","a53","K","277.06",6848
"24","i9","A","153.8",4567
"24","q17","A","189.6",3851
"24","u21","A","226.5",4922
"24","e31","A","262.4",4392
"24","e57","A","352.4",4560
"24","f6","B","262.8",4895
"24","n14","B","191.75",3821
"24","f32","B","465.9",5701
"24","j36","B","496.2",4634
"24","r44","B","397.55",4692
"24","z52","B","372",4633
"24","g7","C","196.7",9973
"24","o15","C","330.4",8178
"24","w23","C","257.5",6857
"24","a53","C","421",7286
"24","e5","D","181.75",3134
"24","i9","D","234.6",3615
"24","a27","D","202.4",2996
"24","d30","D","304.3",4887
"24","i35","D","368.5",3387
"24","u47","D","248",3104
"24","h8","E","212.01",6119
"24","o15","E","412.5",6834
"24","a27","E","292.65",5601
"24","o41","E","270.9",6530
"24","q43","E","335.5",6465
"24","t46","E","254.4",6653
"24","p16","F","285.6",10148
"24","r44","F","422.1",10037
